Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
524,0,-593.064,-360.4,766.752,-540.226,-276.308,761.278,,,,,,,89.3603,-794.149,1125.17,119.517,-715.341,1112.83,,,,585.66,-908.549,824.326,,,,,,,,,,,,,,,,,,,,,,,,,-102.498,-807.612,818.656
525,0,-592.991,-360.34,766.714,-540.183,-276.293,761.363,,,,,,,89.3529,-794.158,1125.16,119.518,-715.342,1112.84,,,,585.693,-908.527,824.382,,,,,,,,,,,,,,,,,,,,,,,,,-102.558,-807.646,818.669
526,0,-593.037,-360.301,766.689,-540.062,-276.257,761.215,,,,,,,89.2995,-794.148,1125.19,119.522,-715.343,1112.83,,,,585.718,-908.363,824.528,,,,,,,,,,,,,,,,,,,,,,,,,-102.639,-807.62,818.66
527,0,-592.974,-360.326,766.701,-540.019,-276.273,761.367,,,,,,,89.2984,-794.136,1125.19,119.469,-715.301,1112.78,,,,585.602,-908.302,824.504,,,,,,,,,,,,,,,,,,,,,,,,,-102.662,-807.628,818.669
528,0,-593.116,-360.391,766.758,-539.951,-276.255,761.342,,,,,,,89.3162,-794.114,1125.21,119.414,-715.291,1112.8,,,,585.752,-908.262,824.566,,,,,,,,,,,,,,,,,,,,,,,,,-102.659,-807.668,818.626
529,0,-592.57,-359.941,766.425,-540.132,-276.529,761.526,,,,,,,89.3278,-794.086,1125.25,119.372,-715.25,1112.86,,,,585.832,-908.291,824.615,,,,,,,,,,,,,,,,,,,,,,,,,-102.647,-807.623,818.673
530,0,-593.002,-360.261,766.732,-539.953,-276.299,761.244,,,,,,,89.2427,-794.117,1125.26,119.469,-715.265,1112.88,,,,585.861,-908.186,824.797,,,,,,,,,,,,,,,,,,,,,,,,,-102.649,-807.62,818.687
531,0,-593.287,-360.381,766.846,-539.606,-276.324,761.173,,,,,,,89.2283,-794.12,1125.26,119.373,-715.213,1112.88,,,,585.91,-908.101,824.823,,,,,,,,,,,,,,,,,,,,,,,,,-102.66,-807.624,818.701
532,0,-593.278,-360.409,766.791,-539.229,-276.492,761.128,,,,,,,89.1939,-794.096,1125.24,119.381,-715.216,1112.88,,,,585.954,-908.05,824.763,,,,,,,,,,,,,,,,,,,,,,,,,-102.598,-807.66,818.706
533,0,-593.215,-360.408,766.689,-538.997,-276.792,760.988,,,,,,,89.1849,-794.106,1125.24,119.319,-715.239,1112.92,,,,585.69,-907.593,825.443,,,,,,,,,,,,,,,,,,,,,,,,,-102.618,-807.61,818.664
534,0,-593.227,-360.382,766.588,-538.303,-277.147,760.615,,,,,,,88.9169,-794.169,1125.09,119.319,-715.175,1112.93,,,,586.053,-907.897,824.83,,,,,,,,,,,,,,,,,,,,,,,,,-102.616,-807.604,818.651
535,0,-593.19,-360.339,766.561,-537.571,-277.4,760.313,,,,,,,89.128,-794.024,1125.31,119.346,-715.111,1112.85,,,,586.376,-908.023,824.955,,,,,,,,,,,,,,,,,,,,,,,,,-102.617,-807.605,818.66
536,0,-593.21,-360.354,766.549,-536.347,-278.06,759.841,,,,,,,89.2007,-794.007,1125.27,119.239,-715.103,1112.84,,,,586.719,-908.268,825.143,,,,,,,,,,,,,,,,,,,,,,,,,-102.444,-807.501,818.732
537,0,-593.185,-360.364,766.468,-535.055,-278.603,759.45,,,,,,,89.2059,-793.989,1125.31,119.244,-715.063,1112.91,,,,587.039,-908.32,825.262,,,,,,,,,,,,,,,,,,,,,,,,,-102.412,-807.482,818.739
538,0,-593.236,-360.368,766.399,-534.162,-278.9,759.187,,,,,,,89.2121,-793.995,1125.31,119.287,-715.03,1112.92,,,,586.948,-908.249,825.194,,,,,,,,,,,,,,,,,,,,,,,,,-102.523,-807.516,818.683
