time,timeepoch,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,joy_axis_0,joy_axis_1,Euler_angle_0,Euler_angle_1,Euler_angle_2,odom_pos_x,odom_pos_y,odom_pos_z,odom_orientation_x,odom_orientation_y,odom_orientation_z,odom_orientation_w,odom_twist_linear_x,odom_twist_linear_y,odom_twist_linear_z,odom_twist_angular_x,odom_twist_angular_y,odom_twist_angular_z
1753282784.9133162,data: 1753277056.2747045,0.70928955078125,0.39129638671875,-0.54522705078125,-0.2156982421875,-5.92,-7.18,-3.06,-0.09,-0.05,-0.04,-0.5065630674362183,0.24868375062942505,40.59378433227539,25.12102508544922,-152.75535583496094,1.6778335087012148,-0.10690116411768374,0.0,0.0,0.0,0.29411015962470133,0.955771528141288,0.7118560795697173,0.0,0.0,0.0,0.0,0.7785769938971953
1753282784.914527,data: 1753277056.2747045,0.71844482421875,0.37286376953125,-0.55224609375,-0.1998291015625,-6.31,-6.85,-3.04,-0.14,-0.34,-0.3,-0.5065630674362183,0.24868375062942505,40.59378433227539,25.12102508544922,-152.75535583496094,1.6778335087012148,-0.10690116411768374,0.0,0.0,0.0,0.29411015962470133,0.955771528141288,0.7118560795697173,0.0,0.0,0.0,0.0,0.7785769938971953
1753282785.1199157,data: 1753277056.4747036,0.72735595703125,0.239501953125,-0.6334228515625,-0.1112060546875,-8.51,-4.56,-1.69,-0.01,-0.59,-1.01,-0.46996989846229553,0.23292022943496704,38.398193359375,24.175212860107422,-151.93519592285156,1.7971747865999665,-0.0003132533308305707,0.0,0.0,0.0,0.4169007009219347,0.9089520370023929,0.7507756756509579,0.0,0.0,0.0,0.0,0.9872194436227457
1753282785.3246348,data: 1753277056.6847055,0.7508544921875,0.0880126953125,-0.65423583984375,-0.02056884765625,-9.59,-1.43,-1.4,0.26,0.16,-0.38,-0.21601146459579468,0.0,23.160688400268555,10.057198524475098,-151.34706115722656,1.8827397517508706,0.12947832292609673,0.0,0.0,0.0,0.5298297657853807,0.8481040144273629,0.7730001118523778,0.0,0.0,0.0,0.0,1.144570106219
1753282785.3258283,data: 1753277056.6847055,0.76007080078125,0.056884765625,-0.64739990234375,-0.0003662109375,-9.65,-0.72,-1.58,0.19,-0.06,0.18,-0.21601146459579468,0.0,23.160688400268555,10.057198524475098,-151.34706115722656,1.8827397517508706,0.12947832292609673,0.0,0.0,0.0,0.5298297657853807,0.8481040144273629,0.7730001118523778,0.0,0.0,0.0,0.0,1.144570106219
1753282785.614173,data: 1753277056.9747336,0.7608642578125,0.0555419921875,-0.646484375,0.00048828125,-9.64,-0.69,-1.6,-0.07,-0.42,-0.14,0.0,0.0,1.096102237701416,1.506702184677124,-157.16165161132812,1.9395841650468613,0.32997485617994793,0.0,0.0,0.0,0.6696552828360461,0.7426720690653278,0.7621538828388049,0.0,0.0,0.0,0.0,1.246011588262426
1753282785.82084,data: 1753277057.1746545,0.7657470703125,0.051025390625,-0.64105224609375,0.0076904296875,-9.63,-0.52,-1.74,0.09,-0.21,-0.08,0.0,0.0,0.8851950764656067,1.5743719339370728,-157.21475219726562,1.9405316461274316,0.4526904134523154,0.0,0.0,0.0,0.7361795045325394,0.6767863304664365,0.7293955730396383,0.0,0.0,0.0,0.0,1.1909647727302273
1753282785.8220122,data: 1753277057.1746545,0.7659912109375,0.045654296875,-0.64111328125,0.01153564453125,-9.64,-0.4,-1.74,0.22,0.11,0.0,0.0,0.0,0.8851950764656067,1.5743719339370728,-157.21475219726562,1.9405316461274316,0.4526904134523154,0.0,0.0,0.0,0.7361795045325394,0.6767863304664365,0.7293955730396383,0.0,0.0,0.0,0.0,1.1909647727302273
1753282786.0236058,data: 1753277057.3846617,0.76837158203125,0.0460205078125,-0.63818359375,0.0128173828125,-9.62,-0.38,-1.81,0.13,-0.41,-0.1,0.0,0.0,-1.0032213926315308,1.7786543369293213,-157.23553466796875,1.9235260186755323,0.562764428387274,0.0,0.0,0.0,0.7798819423662826,0.6259266378506304,0.6797993592970426,0.0,0.0,0.0,0.0,1.0592455816186914
1753282786.2283564,data: 1753277057.5848145,0.77008056640625,0.04132080078125,-0.63641357421875,0.0150146484375,-9.62,-0.28,-1.85,0.21,0.01,0.01,0.0,0.0,-1.2352591753005981,2.1565539836883545,-157.10983276367188,1.897592467462339,0.6594082599932283,0.0,0.0,0.0,0.8048745267834573,0.5934450236838335,0.6212394185908658,0.0,0.0,0.0,0.0,0.8823663180984256
1753282786.2295578,data: 1753277057.5848145,0.77215576171875,0.0396728515625,-0.634033203125,0.013916015625,-9.61,-0.27,-1.91,0.13,-0.07,-0.09,0.0,0.0,-1.2352591753005981,2.1565539836883545,-157.10983276367188,1.897592467462339,0.6594082599932283,0.0,0.0,0.0,0.8048745267834573,0.5934450236838335,0.6212394185908658,0.0,0.0,0.0,0.0,0.8823663180984256
1753282786.4334989,data: 1753277057.7947156,0.77142333984375,0.03863525390625,-0.635009765625,0.0133056640625,-9.61,-0.28,-1.89,0.09,-0.08,-0.03,0.0,0.0,-1.9814541339874268,2.557602882385254,-157.57159423828125,1.869694191262815,0.7441519952418391,0.0,0.0,0.0,0.81354472712578,0.5815023447638369,0.5603372907047021,0.0,0.0,0.0,0.0,0.6593289839174535
1753282786.6384552,data: 1753277057.9948506,0.77081298828125,0.0364990234375,-0.63592529296875,0.00958251953125,-9.62,-0.31,-1.87,0.09,-0.14,0.0,0.0,0.0,-1.9528428316116333,2.417174816131592,-157.70721435546875,1.8460256611931602,0.8146782958723094,0.0,0.0,0.0,0.8085013577572187,0.5884943113614047,0.4980794972402705,0.0,0.0,0.0,0.0,0.4156591966449306
1753282786.8450363,data: 1753277058.20469,0.772216796875,0.03582763671875,-0.63427734375,0.00970458984375,-9.61,-0.29,-1.91,0.13,0.01,-0.03,0.0,0.0,-1.7442760467529297,2.3521010875701904,-158.17434692382812,1.8295359814820606,0.8702708681929053,0.0,0.0,0.0,0.7920766139251165,0.6104216884031252,0.43320990042019275,0.0,0.0,0.0,0.0,0.17355016309894042
1753282786.8462062,data: 1753277058.20469,0.77423095703125,0.03839111328125,-0.63165283203125,0.011474609375,-9.6,-0.3,-1.97,0.11,-0.09,0.0,0.0,0.0,-1.7442760467529297,2.3521010875701904,-158.17434692382812,1.8295359814820606,0.8702708681929053,0.0,0.0,0.0,0.7920766139251165,0.6104216884031252,0.43320990042019275,0.0,0.0,0.0,0.0,0.17355016309894042
1753282787.0480375,data: 1753277058.4047143,0.7757568359375,0.03692626953125,-0.62994384765625,0.00738525390625,-9.58,-0.34,-2.02,0.04,-0.12,-0.09,0.0,0.0,-1.9882497787475586,2.935586929321289,-157.86769104003906,1.8210243775734511,0.9085956868880136,0.0,0.0,0.0,0.7659296338604786,0.6429244092226963,0.3609968402215306,0.0,0.0,0.0,0.0,-0.04396011391586235
1753282787.2520106,data: 1753277058.604713,0.77459716796875,0.03887939453125,-0.63116455078125,0.00689697265625,-9.59,-0.37,-1.99,0.07,-0.05,-0.12,0.0,0.0,-1.8327703475952148,3.263190984725952,-158.30650329589844,1.8176112109805007,0.9333620108806443,0.0,0.0,0.0,0.7392868041479996,0.6733906898767144,0.2858472042716537,0.0,0.0,0.0,0.0,-0.20692789323208477
1753282787.4572003,data: 1753277058.8147485,0.77435302734375,0.0389404296875,-0.63153076171875,0.00439453125,-9.59,-0.41,-1.98,0.07,-0.01,-0.06,0.0,0.0,-1.5942103862762451,3.1472771167755127,-158.17759704589844,1.8168015036238834,0.9456485797822771,0.0,0.0,0.0,0.7183804673339287,0.6956504180643365,0.20898709917214842,0.0,0.0,0.0,0.0,-0.2974186988943134
1753282787.4583852,data: 1753277058.8147485,0.77252197265625,0.03997802734375,-0.63372802734375,0.0057373046875,-9.6,-0.4,-1.92,0.08,-0.05,-0.21,0.0,0.0,-1.5942103862762451,3.1472771167755127,-158.17759704589844,1.8168015036238834,0.9456485797822771,0.0,0.0,0.0,0.7183804673339287,0.6956504180643365,0.20898709917214842,0.0,0.0,0.0,0.0,-0.2974186988943134
1753282787.6639934,data: 1753277059.024712,0.7669677734375,0.03704833984375,-0.64056396484375,0.008056640625,-9.64,-0.34,-1.75,0.11,-0.22,0.0,0.0,0.0,-1.293959617614746,2.854057550430298,-158.17245483398438,1.8167856272000635,0.9458368358640971,0.0,0.0,0.0,0.7083971360899032,0.7058140672865788,0.1347406203972107,0.0,0.0,0.0,0.0,-0.30865623945043463
1753282787.86686,data: 1753277059.2247093,0.762451171875,0.03277587890625,-0.64605712890625,0.01446533203125,-9.67,-0.19,-1.61,0.13,-0.12,-0.03,0.0,0.0,-1.344902515411377,1.7611017227172852,-158.24037170410156,1.8167905986759543,0.9450200395613159,0.0,0.0,0.0,0.7113303028726916,0.7028578805242528,0.075926481441509,0.0,0.0,0.0,0.0,-0.24549791015317324
1753282787.8680003,data: 1753277059.2247093,0.75714111328125,0.032470703125,-0.6522216796875,0.01702880859375,-9.69,-0.16,-1.45,-0.11,-0.05,-0.14,0.0,0.0,-1.344902515411377,1.7611017227172852,-158.24037170410156,1.816781377135854,0.945459759870291,0.0,0.0,0.0,0.7176176697479485,0.6964372764761549,0.05477781999451166,0.0,0.0,0.0,0.0,-0.18693954812524471
1753282788.1763897,data: 1753277059.5347478,0.74688720703125,0.02679443359375,-0.66375732421875,0.02911376953125,-9.73,0.07,-1.14,0.4,0.13,0.15,0.0,0.0,1.8070576190948486,-0.2609913945198059,-157.94705200195312,1.8168764452946105,0.9442068712178412,0.0,0.0,0.0,0.7441380376902224,0.6680258833776915,0.01085642675423839,0.0,0.0,0.0,0.0,0.014544475649854088
1753282788.3789732,data: 1753277059.7347152,0.74468994140625,0.02392578125,-0.666015625,0.0357666015625,-9.74,0.2,-1.08,0.22,-0.02,-0.01,0.0,0.0,2.580418825149536,-2.426539182662964,-157.53872680664062,1.8169125535148052,0.9439581790876286,0.0,0.0,0.0,0.7628678126991183,0.6465544836652692,-0.0016970488870290028,0.0,0.0,0.0,0.0,0.13252950387789897
