Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
465,0,-1565.62,-31.386,780.086,-1472.91,-36.6961,791.361,-1544.19,-441.529,1047.61,-1615.7,-460.749,1065.27,-1532.46,-821.141,1054.42,,,,,,,,,,,,,,,,,,,,,,,,,-1435.28,-609.94,1351.65,-1674.62,-642.478,825.874,,,,,,
466,0,-1565.67,-31.3841,780.117,-1473,-36.6855,791.422,-1544.21,-441.517,1047.65,-1615.77,-460.771,1065.3,-1532.31,-821.035,1054.32,,,,,,,,,,,,,,,,,,,,,,,,,-1435.36,-609.856,1351.67,-1674.64,-642.593,825.898,,,,,,
467,0,-1565.68,-31.3822,780.095,-1472.97,-36.5771,791.473,-1544.24,-441.495,1047.63,-1615.73,-460.694,1065.25,-1532.31,-821.018,1054.37,,,,,,,,,,,,,,,,,,,,,,,,,-1435.42,-609.844,1351.65,-1674.57,-642.493,825.878,,,,,,
468,0,-1565.7,-31.3647,780.1,-1472.95,-36.4758,791.509,-1544.32,-441.496,1047.65,-1615.87,-460.789,1065.37,-1532.22,-820.917,1054.3,,,,,,,,,,,,,,,,,,,,,,,,,-1435.46,-609.748,1351.7,-1674.58,-642.496,825.887,,,,,,
469,0,-1565.67,-31.2992,780.071,-1472.95,-36.4734,791.509,-1544.33,-441.5,1047.66,-1615.86,-460.718,1065.28,-1532.17,-820.893,1054.36,,,,,,,,,,,,,,,,,,,,,,,,,-1435.53,-609.679,1351.67,-1674.59,-642.477,825.931,,,,,,
470,0,-1565.55,-31.2233,780.016,-1472.92,-36.392,791.548,-1544.38,-441.485,1047.63,-1615.9,-460.755,1065.29,-1532.03,-820.801,1054.28,,,,,,,-1317.69,-1244.84,822.976,,,,,,,,,,,,,,,,-1435.6,-609.664,1351.72,-1674.52,-642.477,825.933,,,,,,
471,0,-1565.48,-31.2012,780.08,-1472.84,-36.368,791.54,-1544.41,-441.442,1047.62,-1615.95,-460.645,1065.22,-1532.08,-820.855,1054.35,,,,,,,-1318.05,-1245.29,823.734,,,,,,,,,,,,,,,,-1435.61,-609.588,1351.69,-1674.47,-642.496,825.945,,,,,,
472,0,-1565.39,-31.1836,780.086,-1472.76,-36.3732,791.553,-1544.39,-441.392,1047.58,-1615.98,-460.582,1065.19,-1531.96,-820.787,1054.31,,,,,,,-1318.04,-1245.52,824.291,,,,,,,,,,,,,,,,-1435.57,-609.419,1351.66,-1674.48,-642.473,825.986,,,,,,
473,0,-1565.24,-31.175,780.075,-1472.64,-36.345,791.56,-1544.44,-441.38,1047.57,-1616.06,-460.636,1065.18,-1531.84,-820.695,1054.29,,,,,,,-1318.41,-1246.03,824.862,,,,,,,,,,,,,,,,-1435.66,-609.384,1351.63,-1674.37,-642.498,826.014,,,,,,
474,0,-1564.96,-31.1182,779.962,-1472.48,-36.2891,791.569,-1544.51,-441.353,1047.61,-1616.13,-460.642,1065.17,-1531.84,-820.692,1054.29,,,,,,,-1415.64,-1255.58,800.29,,,,,,,,,,,,,,,,-1435.66,-609.254,1351.61,-1674.32,-642.488,826.072,,,,,,
